timestamp,electricity_demand_mw,temperature_c,hour,day_of_week,month
2024-01-01 00:00:00,1190.14,18.53,0,1,1
2024-01-01 01:00:00,1114.0,18.15,1,1,1
2024-01-01 02:00:00,1027.08,18.28,2,1,1
2024-01-01 03:00:00,1003.64,13.71,3,1,1
2024-01-01 04:00:00,1019.16,16.34,4,1,1
2024-01-01 05:00:00,1114.34,14.26,5,1,1
2024-01-01 06:00:00,1210.88,13.22,6,1,1
2024-01-01 07:00:00,1351.7,12.89,7,1,1
2024-01-01 08:00:00,1453.15,11.78,8,1,1
2024-01-01 09:00:00,1573.44,14.64,9,1,1
2024-01-01 10:00:00,1566.29,14.08,10,1,1
2024-01-01 11:00:00,1615.53,13.5,11,1,1
2024-01-01 12:00:00,1587.49,13.97,12,1,1
2024-01-01 13:00:00,1546.92,15.28,13,1,1
2024-01-01 14:00:00,1470.53,17.48,14,1,1
2024-01-01 15:00:00,1440.85,18.46,15,1,1
2024-01-01 16:00:00,1351.94,18.71,16,1,1
2024-01-01 17:00:00,1359.17,20.05,17,1,1
2024-01-01 18:00:00,1389.19,22.25,18,1,1
2024-01-01 19:00:00,1340.41,23.63,19,1,1
2024-01-01 20:00:00,1319.77,21.72,20,1,1
2024-01-01 21:00:00,1335.83,20.93,21,1,1
2024-01-01 22:00:00,1258.39,19.32,22,1,1
2024-01-01 23:00:00,1230.78,19.73,23,1,1
2024-01-02 00:00:00,1162.18,18.43,0,2,1
2024-01-02 01:00:00,1170.0,20.38,1,2,1
2024-01-02 02:00:00,1063.09,16.62,2,2,1
2024-01-02 03:00:00,1016.79,15.63,3,2,1
2024-01-02 04:00:00,1062.89,15.11,4,2,1
2024-01-02 05:00:00,1116.99,14.36,5,2,1
2024-01-02 06:00:00,1160.11,13.53,6,2,1
2024-01-02 07:00:00,1328.81,12.12,7,2,1
2024-01-02 08:00:00,1468.61,12.48,8,2,1
2024-01-02 09:00:00,1502.84,12.16,9,2,1
2024-01-02 10:00:00,1596.54,11.79,10,2,1
2024-01-02 11:00:00,1647.48,14.2,11,2,1
2024-01-02 12:00:00,1611.54,15.2,12,2,1
2024-01-02 13:00:00,1587.35,18.76,13,2,1
2024-01-02 14:00:00,1457.6,15.73,14,2,1
2024-01-02 15:00:00,1457.87,17.74,15,2,1
2024-01-02 16:00:00,1332.15,19.55,16,2,1
2024-01-02 17:00:00,1309.44,20.45,17,2,1
2024-01-02 18:00:00,1385.01,20.17,18,2,1
2024-01-02 19:00:00,1332.11,20.71,19,2,1
2024-01-02 20:00:00,1357.52,21.7,20,2,1
2024-01-02 21:00:00,1371.45,19.66,21,2,1
2024-01-02 22:00:00,1303.99,20.34,22,2,1
2024-01-02 23:00:00,1250.94,20.42,23,2,1
2024-01-03 00:00:00,1168.84,18.23,0,3,1
2024-01-03 01:00:00,1120.46,18.01,1,3,1
2024-01-03 02:00:00,1075.95,17.81,2,3,1
2024-01-03 03:00:00,946.63,15.55,3,3,1
2024-01-03 04:00:00,1019.49,14.49,4,3,1
2024-01-03 05:00:00,1106.92,16.37,5,3,1
2024-01-03 06:00:00,1193.63,15.47,6,3,1
2024-01-03 07:00:00,1321.49,13.89,7,3,1
2024-01-03 08:00:00,1467.78,14.27,8,3,1
2024-01-03 09:00:00,1534.46,12.93,9,3,1
2024-01-03 10:00:00,1529.23,14.76,10,3,1
2024-01-03 11:00:00,1658.42,14.84,11,3,1
2024-01-03 12:00:00,1653.17,15.7,12,3,1
2024-01-03 13:00:00,1517.09,16.12,13,3,1
2024-01-03 14:00:00,1455.61,15.91,14,3,1
2024-01-03 15:00:00,1382.79,18.53,15,3,1
2024-01-03 16:00:00,1368.64,21.37,16,3,1
2024-01-03 17:00:00,1291.28,19.63,17,3,1
2024-01-03 18:00:00,1366.52,20.91,18,3,1
2024-01-03 19:00:00,1288.65,20.48,19,3,1
2024-01-03 20:00:00,1296.03,20.9,20,3,1
